granuleId,packageId,gpoId,authorityId,role,chamber,congress,bioGuideId,memberName,state,party,members,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-12-02-pt1-PgH7121-3,CREC-2016-12-02,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-12-02-pt1-PgH7121-5,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7121-4,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7121-6,CREC-2016-12-02,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-12-02-pt1-PgH-FrontMatter-6,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7121-2,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7122,CREC-2016-12-02,,2169,SPEAKING,H,114,K000381,"Kilmer, Derek",WA,D,,"Kilmer, Derek",Mr. KILMER,Derek Kilmer,
CREC-2016-12-02-pt1-PgH7121,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7122-2,CREC-2016-12-02,8091,186,SPEAKING,H,114,C000266,"Chabot, Steve",OH,R,,"Chabot, Steve",Mr. CHABOT,Steve Chabot,
CREC-2016-12-02-pt1-PgH7122-3,CREC-2016-12-02,8139,2055,SPEAKING,H,114,C001084,"Cicilline, David N.",RI,D,,"Cicilline, David N.",Mr. CICILLINE,David N. Cicilline,Mr. David Cicilline
CREC-2016-12-02-pt1-PgH7122-4,CREC-2016-12-02,8123,1952,SPEAKING,H,114,T000467,"Thompson, Glenn",PA,R,,"Thompson, Glenn",Mr. THOMPSON of Pennsylvania,Glenn Thompson,
CREC-2016-12-02-pt1-PgH7122-6,CREC-2016-12-02,7793,1989,SPEAKING,H,114,C001087,"Crawford, Eric A. ""Rick""",AR,R,,"Crawford, Eric A. ""Rick""",Mr. CRAWFORD,"Eric A. ""Rick"" Crawford",Mr. Eric Crawford
CREC-2016-12-02-pt1-PgH7122-5,CREC-2016-12-02,,2162,SPEAKING,H,114,O000170,"O'Rourke, Beto",TX,D,,"O'Rourke, Beto",Mr. O'ROURKE,Beto O'Rourke,
CREC-2016-12-02-pt1-PgH7123,CREC-2016-12-02,7930,2013,SPEAKING,H,114,D000613,"Dold, Robert J.",IL,R,,"Dold, Robert J.",Mr. DOLD,Robert J. Dold,Mr. Robert Dold
CREC-2016-12-02-pt1-PgH7123-2,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7123-3,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7134,CREC-2016-12-02,,,,,,,,,,,,,,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8755,1155,SPEAKING,H,114,T000238,"Thornberry, Mac",TX,R,,"Thornberry, Mac",Mr. THORNBERRY,Mac Thornberry,William Thornberry
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8213,1528,SPEAKING,H,114,S000510,"Smith, Adam",WA,D,,"Smith, Adam",Mr. SMITH of Washington,Adam Smith,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8786,1683,SPEAKING,H,114,F000445,"Forbes, J. Randy",VA,R,,"Forbes, J. Randy",Mr. FORBES,J. Randy Forbes,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7867,1836,SPEAKING,H,114,C001069,"Courtney, Joe",CT,D,,"Courtney, Joe",Mr. COURTNEY,Joe Courtney,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8142,1688,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7911,1723,SPEAKING,H,114,B001245,"Bordallo, Madeleine Z.",GU,D,,"Bordallo, Madeleine Z.",Ms. BORDALLO,Madeleine Z. Bordallo,Ms. Madeleine Bordallo
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8093,1741,SPEAKING,H,114,T000463,"Turner, Michael R.",OH,R,,"Turner, Michael R.",Mr. TURNER,Michael R. Turner,Mr. Michael Turner
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7858,1641,SPEAKING,H,114,D000598,"Davis, Susan A.",CA,D,,"Davis, Susan A.",Mrs. DAVIS of California,Susan A. Davis,Susan Davis
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7788,1704,SPEAKING,H,114,R000575,"Rogers, Mike D.",AL,R,,"Rogers, Mike D.",Mr. ROGERS of Alabama,Mike Rogers,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8140,1668,SPEAKING,H,114,L000559,"Langevin, James R.",RI,D,,"Langevin, James R.",Mr. LANGEVIN,James R. Langevin,James Langevin
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8192,1886,SPEAKING,H,114,W000804,"Wittman, Robert J.",VA,R,,"Wittman, Robert J.",Mr. WITTMAN,Robert J. Wittman,Mr. Robert Wittman
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8194,1037,SPEAKING,H,114,S000185,"Scott, Robert C. ""Bobby""",VA,D,,"Scott, Robert C. ""Bobby""",Mr. SCOTT of Virginia,"Robert C. ""Bobby"" Scott",Robert Scott
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8081,2043,SPEAKING,H,114,G000564,"Gibson, Christopher P.",NY,R,,"Gibson, Christopher P.",Mr. GIBSON,Christopher P. Gibson,Mr. Christopher Gibson
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7815,1973,SPEAKING,H,114,G000559,"Garamendi, John",CA,D,,"Garamendi, John",Mr. GARAMENDI,John Garamendi,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8012,2032,SPEAKING,H,114,H001053,"Hartzler, Vicky",MO,R,,"Hartzler, Vicky",Mrs. HARTZLER,Vicky Hartzler,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8061,2040,SPEAKING,H,114,H001055,"Heck, Joseph J.",NV,R,,"Heck, Joseph J.",Mr. HECK of Nevada,Joseph J. Heck,Mr. Joseph Heck
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8174,588,SPEAKING,H,114,J000032,"Jackson Lee, Sheila",TX,D,,"Jackson Lee, Sheila",Ms. JACKSON LEE,Sheila Jackson Lee,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,,2152,SPEAKING,H,114,W000815,"Wenstrup, Brad R.",OH,R,,"Wenstrup, Brad R.",Mr. WENSTRUP,Brad R. Wenstrup,Mr. Brad Wenstrup
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,7814,1501,SPEAKING,H,114,L000551,"Lee, Barbara",CA,D,,"Lee, Barbara",Ms. LEE,Barbara Lee,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,,2263,SPEAKING,H,114,S001196,"Stefanik, Elise M.",NY,R,,"Stefanik, Elise M.",Ms. STEFANIK,Elise M. Stefanik,Ms. Elise Stefanik
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,,2225,SPEAKING,H,114,M001197,"McSally, Martha",AZ,R,,"McSally, Martha",Ms. McSALLY,Martha McSally,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8091,186,SPEAKING,H,114,C000266,"Chabot, Steve",OH,R,,"Chabot, Steve",Mr. CHABOT,Steve Chabot,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,8116,99,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-12-02-pt1-PgH7123-4,CREC-2016-12-02,,1012,SPEAKING,H,114,S000051,"Sanford, Mark",SC,R,,"Sanford, Mark",Mr. SANFORD,Mark Sanford,
