granuleId,packageId,members,role,chamber,congress,bioGuideId,memberName,state,party,name__authority-lnf,name__parsed,name__authority-fnf,name__authority-other
CREC-2016-12-06-pt1-PgH7183,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7183-5,CREC-2016-12-06,,SPEAKING,H,114,K000386,"Katko, John",NY,R,"Katko, John",Mr. KATKO,John Katko,
CREC-2016-12-06-pt1-PgH7184-2,CREC-2016-12-06,,SPEAKING,H,114,M001195,"Mooney, Alexander X.",WV,R,"Mooney, Alexander X.",Mr. MOONEY of West Virginia,Alexander X. Mooney,Alexander Mooney
CREC-2016-12-06-pt1-PgH7184,CREC-2016-12-06,,SPEAKING,H,114,G000535,"Gutierrez, Luis V.",IL,D,"Gutierrez, Luis V.",Mr. GUTIERREZ,Luis V. Gutierrez,Luis Gutierrez
CREC-2016-12-06-pt1-PgH7183-2,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH-FrontMatter,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7183-4,CREC-2016-12-06,,SPEAKING,H,114,B000574,"Blumenauer, Earl",OR,D,"Blumenauer, Earl",Mr. BLUMENAUER,Earl Blumenauer,
CREC-2016-12-06-pt1-PgH7183-3,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7185,CREC-2016-12-06,,SPEAKING,H,114,L000565,"Loebsack, David",IA,D,"Loebsack, David",Mr. LOEBSACK,David Loebsack,
CREC-2016-12-06-pt1-PgH7186-2,CREC-2016-12-06,,SPEAKING,H,114,M000404,"McDermott, Jim",WA,D,"McDermott, Jim",Mr. McDERMOTT,Jim McDermott,
CREC-2016-12-06-pt1-PgH7185-2,CREC-2016-12-06,,SPEAKING,H,114,J000297,"Jenkins, Evan H.",WV,R,"Jenkins, Evan H.",Mr. JENKINS of West Virginia,Evan H. Jenkins,Evan Jenkins
CREC-2016-12-06-pt1-PgH7186,CREC-2016-12-06,,SPEAKING,H,114,W000795,"Wilson, Joe",SC,R,"Wilson, Joe",Mr. WILSON of South Carolina,Joe Wilson,
CREC-2016-12-06-pt1-PgH7185-3,CREC-2016-12-06,,SPEAKING,H,114,M001188,"Meng, Grace",NY,D,"Meng, Grace",Ms. MENG,Grace Meng,
CREC-2016-12-06-pt1-PgH7187,CREC-2016-12-06,,SPEAKING,H,114,A000374,"Abraham, Ralph Lee",LA,R,"Abraham, Ralph Lee",Mr. ABRAHAM,Ralph Lee Abraham,Ralph Abraham
CREC-2016-12-06-pt1-PgH7187-2,CREC-2016-12-06,,SPEAKING,H,114,M001151,"Murphy, Tim",PA,R,"Murphy, Tim",Mr. MURPHY of Pennsylvania,Tim Murphy,
CREC-2016-12-06-pt1-PgH7186-3,CREC-2016-12-06,,SPEAKING,H,114,C001107,"Curbelo, Carlos",FL,R,"Curbelo, Carlos",Mr. CURBELO of Florida,Carlos Curbelo,
CREC-2016-12-06-pt1-PgH7188,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-2,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-4,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-6,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-3,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-8,CREC-2016-12-06,,SPEAKING,H,114,H001038,"Higgins, Brian",NY,D,"Higgins, Brian",Mr. HIGGINS,Brian Higgins,
CREC-2016-12-06-pt1-PgH7188-5,CREC-2016-12-06,,,,,,,,,,,,
CREC-2016-12-06-pt1-PgH7188-7,CREC-2016-12-06,,SPEAKING,H,114,R000435,"Ros-Lehtinen, Ileana",FL,R,"Ros-Lehtinen, Ileana",Ms. ROS-LEHTINEN,Ileana Ros-Lehtinen,
CREC-2016-12-06-pt1-PgH7188-9,CREC-2016-12-06,,SPEAKING,H,114,P000605,"Perry, Scott",PA,R,"Perry, Scott",Mr. PERRY,Scott Perry,
CREC-2016-12-06-pt1-PgH7189,CREC-2016-12-06,,SPEAKING,H,114,K000382,"Kuster, Ann M.",NH,D,"Kuster, Ann M.",Ms. KUSTER,Ann M. Kuster,Ann Kuster
CREC-2016-12-06-pt1-PgH7189-2,CREC-2016-12-06,,SPEAKING,H,114,D000626,"Davidson, Warren",OH,R,"Davidson, Warren",Mr. DAVIDSON,Warren Davidson,
CREC-2016-12-06-pt1-PgH7189-5,CREC-2016-12-06,,SPEAKING,H,114,B001257,"Bilirakis, Gus M.",FL,R,"Bilirakis, Gus M.",Mr. BILIRAKIS,Gus M. Bilirakis,Gus Bilirakis
CREC-2016-12-06-pt1-PgH7189-3,CREC-2016-12-06,,SPEAKING,H,114,Q000023,"Quigley, Mike",IL,D,"Quigley, Mike",Mr. QUIGLEY,Mike Quigley,
CREC-2016-12-06-pt1-PgH7189-6,CREC-2016-12-06,,SPEAKING,H,114,D000619,"Davis, Rodney",IL,R,"Davis, Rodney",Mr. RODNEY DAVIS of Illinois,Rodney Davis,
CREC-2016-12-06-pt1-PgH7190,CREC-2016-12-06,,SPEAKING,H,114,A000372,"Allen, Rick W.",GA,R,"Allen, Rick W.",Mr. ALLEN,Rick W. Allen,Rick Allen
CREC-2016-12-06-pt1-PgH7189-4,CREC-2016-12-06,,SPEAKING,H,114,R000603,"Rouzer, David",NC,R,"Rouzer, David",Mr. ROUZER,David Rouzer,
