granuleId,packageId,references,collectionCode,collectionName,contents__number,contents__congress,contents__type
CREC-2016-12-09-pt1-PgS6931-7,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS-FrontMatter-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-4,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-6,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-8,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6931-5,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6932-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6932,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6932-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS6995-2,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS6995,CREC-2016-12-09,,BILLS,Congressional Bills,183,114,HCONRES
CREC-2016-12-09-pt1-PgS6995,CREC-2016-12-09,,BILLS,Congressional Bills,183,114,HCONRES
CREC-2016-12-09-pt1-PgS6995,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS6998,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7000,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,1,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,290,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,2028,114,HR
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,2533,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,2898,114,HR
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,3394,114,HR
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,3539,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,3542,114,S
CREC-2016-12-09-pt1-PgS6932-4,CREC-2016-12-09,,BILLS,Congressional Bills,5247,114,HR
CREC-2016-12-09-pt1-PgS7004,CREC-2016-12-09,,BILLS,Congressional Bills,183,114,HCONRES
CREC-2016-12-09-pt1-PgS7004,CREC-2016-12-09,,BILLS,Congressional Bills,183,114,HCONRES
CREC-2016-12-09-pt1-PgS7004,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS7008,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7005,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7008-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7005-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7008-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7009,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7009-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7011,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7010,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7010-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7009-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7011-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7014,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7015,CREC-2016-12-09,,BILLS,Congressional Bills,2028,114,HR
CREC-2016-12-09-pt1-PgS7015,CREC-2016-12-09,,BILLS,Congressional Bills,2028,114,HR
CREC-2016-12-09-pt1-PgS7015-2,CREC-2016-12-09,,BILLS,Congressional Bills,612,114,S
CREC-2016-12-09-pt1-PgS7017,CREC-2016-12-09,,BILLS,Congressional Bills,6438,114,HR
CREC-2016-12-09-pt1-PgS7017,CREC-2016-12-09,,BILLS,Congressional Bills,6438,114,HR
CREC-2016-12-09-pt1-PgS7018,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7016,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7017-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7018-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7019,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7019-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7020,CREC-2016-12-09,,BILLS,Congressional Bills,1882,114,S
CREC-2016-12-09-pt1-PgS7023,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7024-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7023-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7024-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7024,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7026,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7025,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7025-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7026-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7027,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7027-2,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7026-3,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7027-3,CREC-2016-12-09,,BILLS,Congressional Bills,1632,114,S
CREC-2016-12-09-pt1-PgS7027-3,CREC-2016-12-09,,BILLS,Congressional Bills,2028,114,HR
CREC-2016-12-09-pt1-PgS7027-3,CREC-2016-12-09,,BILLS,Congressional Bills,2974,114,S
CREC-2016-12-09-pt1-PgS7027-3,CREC-2016-12-09,,BILLS,Congressional Bills,3028,114,S
CREC-2016-12-09-pt1-PgS7027-3,CREC-2016-12-09,,BILLS,Congressional Bills,3183,114,S
CREC-2016-12-09-pt1-PgS7031,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,236,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,290,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,1378,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,1403,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,1607,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,1685,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2283,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2609,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2614,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2829,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2834,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2920,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,2972,114,S
CREC-2016-12-09-pt1-PgS7031-2,CREC-2016-12-09,,BILLS,Congressional Bills,3038,114,S
CREC-2016-12-09-pt1-PgS7027-4,CREC-2016-12-09,,,,,,
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3537,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3538,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3539,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3540,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3541,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3542,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3543,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3544,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3545,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3546,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3547,114,S
CREC-2016-12-09-pt1-PgS7031-3,CREC-2016-12-09,,BILLS,Congressional Bills,3548,114,S
CREC-2016-12-09-pt1-PgS7033-2,CREC-2016-12-09,,BILLS,Congressional Bills,3539,114,S
CREC-2016-12-09-pt1-PgS7034,CREC-2016-12-09,,BILLS,Congressional Bills,3542,114,S
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,633,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,634,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,636,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,637,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,638,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,639,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,640,114,SRES
CREC-2016-12-09-pt1-PgS7032,CREC-2016-12-09,,BILLS,Congressional Bills,642,114,SRES
CREC-2016-12-09-pt1-PgS7035,CREC-2016-12-09,,BILLS,Congressional Bills,3544,114,S
CREC-2016-12-09-pt1-PgS7035-2,CREC-2016-12-09,,BILLS,Congressional Bills,633,114,SRES
CREC-2016-12-09-pt1-PgS7035-2,CREC-2016-12-09,,BILLS,Congressional Bills,633,114,SRES
CREC-2016-12-09-pt1-PgS7032-2,CREC-2016-12-09,,BILLS,Congressional Bills,51,114,SCONRES
CREC-2016-12-09-pt1-PgS7032-2,CREC-2016-12-09,,BILLS,Congressional Bills,51,114,SCONRES
