granuleId,packageId,title,text_length,sample_text
CREC-2015-01-07-pt1-PgH56-5,CREC-2015-01-07,USA WARRIORS ICE HOCKEY PROGRAM,1621,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Page H56] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] USA WARRIORS I..."
CREC-2015-01-07-pt1-PgH59,CREC-2015-01-07,TERRORISM RISK INSURANCE PROGRAM REAUTHORIZATION ACT OF 2015,119046,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Pages H59-H71] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] TERRORISM..."
CREC-2015-01-07-pt1-PgS29-2,CREC-2015-01-07,PRESERVING THE SENATE,1280,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Senate] [Page S29] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] PRESERVING TH..."
CREC-2015-01-07-pt1-PgE22-6,CREC-2015-01-07,HONORING THE LIFE AND LEGACY OF FORMER NEW YORK GOV. MARIO CUOMO,4400,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Extensions of Remarks] [Pages E22-E23] From the Congressional Record Online through the Government Publishing Office [ www.gpo..."
CREC-2015-01-07-pt1-PgH94-4,CREC-2015-01-07,ANNOUNCEMENT BY THE SPEAKER PRO TEMPORE,439,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Page H94] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] ANNOUNCEMENT B..."
CREC-2015-01-07-pt1-PgS68,CREC-2015-01-07,APPOINTMENTS,840,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Senate] [Page S68] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] APPOINTMENTS ..."
CREC-2015-01-07-pt1-PgS40,CREC-2015-01-07,RECESS,765,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Senate] [Page S40] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] RECESS The PR..."
CREC-2015-01-07-pt1-PgH55-7,CREC-2015-01-07,COMMUNICATION FROM THE CLERK OF THE HOUSE,1142,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Page H55] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMUNICATION ..."
CREC-2015-01-07-pt1-PgH104-5,CREC-2015-01-07,Constitutional Authority Statement for H.R. 184,667,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Page H104] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] By Mr. HUDSON..."
CREC-2015-01-07-pt1-PgE27-4,CREC-2015-01-07,PERSONAL EXPLANATION,505,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Extensions of Remarks] [Page E27] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ..."
CREC-2015-01-07-pt1-PgH104-9,CREC-2015-01-07,Constitutional Authority Statement for H.R. 188,342,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [House] [Page H104] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] By Mr. HARPER..."
CREC-2015-01-07-pt1-PgE28-2,CREC-2015-01-07,IN RECOGNITION OF MR. TONY BARBA,1890,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Extensions of Remarks] [Page E28] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ..."
CREC-2015-01-07-pt1-PgS53-2,CREC-2015-01-07,REMEMBERING EDWARD BROOKE,1799,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Senate] [Pages S53-S54] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] REMEMBER..."
CREC-2015-01-07-pt1-PgD11-2,CREC-2015-01-07,Daily Digest/COMMITTEE MEETINGS FOR 2015-01-08,604,"[Congressional Record Volume 161, Number 2 (Wednesday, January 7, 2015)] [Daily Digest] [Page D11] From the Congressional Record Online through the Government Publishing Office [ www.gpo.gov ] COMMITT..."
