granuleId,policy_area_name,policy_area_code,support,total_committees,confidence,tie
CREC-2015-01-06-pt1-PgD2,Macroeconomics,100,1,2,0.5,True
CREC-2015-01-06-pt1-PgD4-2,Defense,1600,1,1,1.0,False
CREC-2015-01-06-pt1-PgD7,Government Operations,2000,1,1,1.0,False
CREC-2015-01-06-pt1-PgD7-2,Energy,800,1,2,0.5,True
CREC-2015-01-06-pt1-PgD7-3,Government Operations,2000,1,1,1.0,False
CREC-2015-01-06-pt1-PgE1-2,Macroeconomics,100,1,4,0.25,True
CREC-2015-01-06-pt1-PgH28-2,Government Operations,2000,5,20,0.25,False
CREC-2015-01-06-pt1-PgH33-2,Government Operations,2000,1,1,1.0,False
CREC-2015-01-06-pt1-PgH35-10,Macroeconomics,100,2,3,0.6666666666666666,False
CREC-2015-01-06-pt1-PgH35-11,Government Operations,2000,4,20,0.2,False
CREC-2015-01-06-pt1-PgH35-2,Defense,1600,1,1,1.0,False
CREC-2015-01-06-pt1-PgH49-17,Macroeconomics,100,1,3,0.3333333333333333,True
CREC-2015-01-06-pt1-PgH7-4,Government Operations,2000,5,19,0.2631578947368421,False
CREC-2015-01-06-pt1-PgS10-5,Macroeconomics,100,2,11,0.18181818181818182,True
CREC-2015-01-06-pt1-PgS12-2,Macroeconomics,100,1,4,0.25,True
CREC-2015-01-06-pt1-PgS12-3,Law and Crime,1200,1,1,1.0,False
CREC-2015-01-06-pt1-PgS13,Law and Crime,1200,1,1,1.0,False
CREC-2015-01-06-pt1-PgS14,Law and Crime,1200,1,1,1.0,False
CREC-2015-01-06-pt1-PgS15,International Affairs,1900,1,1,1.0,False
CREC-2015-01-06-pt1-PgS16,Law and Crime,1200,1,1,1.0,False
CREC-2015-01-06-pt1-PgS17,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-06-pt1-PgS18,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-06-pt1-PgS19,Law and Crime,1200,1,1,1.0,False
CREC-2015-01-06-pt1-PgS19-2,Health,300,1,1,1.0,False
CREC-2015-01-06-pt1-PgS21-6,Government Operations,2000,4,20,0.2,False
CREC-2015-01-06-pt1-PgS8-5,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-07-pt1-PgD10-2,Government Operations,2000,1,1,1.0,False
CREC-2015-01-07-pt1-PgD11,Macroeconomics,100,1,4,0.25,True
CREC-2015-01-07-pt1-PgD11-2,Energy,800,1,2,0.5,True
CREC-2015-01-07-pt1-PgD11-3,Government Operations,2000,1,1,1.0,False
CREC-2015-01-07-pt1-PgE28-3,International Affairs,1900,1,1,1.0,False
CREC-2015-01-07-pt1-PgH102-2,Macroeconomics,100,1,2,0.5,True
CREC-2015-01-07-pt1-PgH103,Government Operations,2000,2,2,1.0,False
CREC-2015-01-07-pt1-PgH103-2,Government Operations,2000,4,11,0.36363636363636365,False
CREC-2015-01-07-pt1-PgH105-6,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-07-pt1-PgH59,Housing,1400,1,3,0.3333333333333333,True
CREC-2015-01-07-pt1-PgH71,Housing,1400,1,3,0.3333333333333333,True
CREC-2015-01-07-pt1-PgH82,Energy,800,1,2,0.5,True
CREC-2015-01-07-pt1-PgH83,Transportation,1000,1,2,0.5,True
CREC-2015-01-07-pt1-PgH87,Domestic Commerce,1500,2,4,0.5,False
CREC-2015-01-07-pt1-PgH94-2,Government Operations,2000,1,1,1.0,False
CREC-2015-01-07-pt1-PgS54-6,Macroeconomics,100,1,9,0.1111111111111111,True
CREC-2015-01-07-pt1-PgS57,Government Operations,2000,3,14,0.21428571428571427,False
CREC-2015-01-07-pt1-PgS59,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-07-pt1-PgS60,Macroeconomics,100,1,3,0.3333333333333333,True
CREC-2015-01-07-pt1-PgS60-2,Domestic Commerce,1500,1,1,1.0,False
CREC-2015-01-07-pt1-PgS61,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-07-pt1-PgS61-2,Health,300,1,1,1.0,False
CREC-2015-01-07-pt1-PgS66,Government Operations,2000,4,20,0.2,False
CREC-2015-01-07-pt1-PgS66-2,Government Operations,2000,4,20,0.2,False
CREC-2015-01-07-pt1-PgS66-3,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-07-pt1-PgS67-2,Government Operations,2000,4,20,0.2,False
CREC-2015-01-07-pt1-PgS67-3,Government Operations,2000,4,20,0.2,False
CREC-2015-01-08-pt1-PgD15,Energy,800,1,2,0.5,True
CREC-2015-01-08-pt1-PgD15-2,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-08-pt1-PgD15-5,Government Operations,2000,1,1,1.0,False
CREC-2015-01-08-pt1-PgE32-2,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-08-pt1-PgE33-2,Domestic Commerce,1500,1,1,1.0,False
CREC-2015-01-08-pt1-PgH112-10,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-08-pt1-PgH115-2,Macroeconomics,100,2,5,0.4,False
CREC-2015-01-08-pt1-PgH125,Macroeconomics,100,2,4,0.5,False
CREC-2015-01-08-pt1-PgH154-4,Macroeconomics,100,1,2,0.5,True
CREC-2015-01-08-pt1-PgH154-5,Macroeconomics,100,2,13,0.15384615384615385,True
CREC-2015-01-08-pt1-PgS100,Macroeconomics,100,1,1,1.0,False
CREC-2015-01-08-pt1-PgS101,Law and Crime,1200,2,6,0.3333333333333333,False
