policy_area,issue_number,salience,dateIssued,year_week
Macroeconomics,100,50.0,2015-01-04,2015_1
Civil Rights,200,50.0,2015-01-04,2015_1
Health,300,50.0,2015-01-04,2015_1
Agriculture,400,50.0,2015-01-04,2015_1
Labor,500,50.0,2015-01-04,2015_1
Education,600,50.0,2015-01-04,2015_1
Environment,700,50.0,2015-01-04,2015_1
Energy,800,50.0,2015-01-04,2015_1
Transportation,1000,50.0,2015-01-04,2015_1
Law and Crime,1200,50.0,2015-01-04,2015_1
Social Welfare,1300,50.0,2015-01-04,2015_1
Housing,1400,50.0,2015-01-04,2015_1
Domestic Commerce,1500,50.0,2015-01-04,2015_1
Defense,1600,50.0,2015-01-04,2015_1
Technology,1700,50.0,2015-01-04,2015_1
International Affairs,1900,50.0,2015-01-04,2015_1
Government Operations,2000,50.0,2015-01-04,2015_1
Public Lands,2100,50.0,2015-01-04,2015_1
Macroeconomics,100,50.0,2015-01-11,2015_2
Civil Rights,200,50.0,2015-01-11,2015_2
Health,300,50.0,2015-01-11,2015_2
Agriculture,400,50.0,2015-01-11,2015_2
Labor,500,50.0,2015-01-11,2015_2
Education,600,50.0,2015-01-11,2015_2
Environment,700,50.0,2015-01-11,2015_2
Energy,800,50.0,2015-01-11,2015_2
Transportation,1000,50.0,2015-01-11,2015_2
Law and Crime,1200,50.0,2015-01-11,2015_2
Social Welfare,1300,50.0,2015-01-11,2015_2
Housing,1400,50.0,2015-01-11,2015_2
Domestic Commerce,1500,50.0,2015-01-11,2015_2
Defense,1600,50.0,2015-01-11,2015_2
Technology,1700,50.0,2015-01-11,2015_2
International Affairs,1900,50.0,2015-01-11,2015_2
Government Operations,2000,50.0,2015-01-11,2015_2
Public Lands,2100,50.0,2015-01-11,2015_2
Macroeconomics,100,50.0,2015-01-18,2015_3
Civil Rights,200,50.0,2015-01-18,2015_3
Health,300,50.0,2015-01-18,2015_3
Agriculture,400,50.0,2015-01-18,2015_3
Labor,500,50.0,2015-01-18,2015_3
