bioGuideId,total_mentions,unique_orgs,avg_prominence,unique_policy_areas,memberName,party,state,chamber
A000055,3,3,0.0,0,"Aderholt, Robert B.",R,AL,H
A000360,289,92,0.49480968858131485,5,"Alexander, Lamar",R,TN,S
A000368,30,14,0.3,0,"Ayotte, Kelly",R,NH,S
A000370,33,8,0.5757575757575758,0,"Adams, Alma S.",D,NC,H
A000372,19,6,0.2631578947368421,1,"Allen, Rick W.",R,GA,H
A000373,5,3,0.0,0,"Ashford, Brad",D,NE,H
A000374,14,8,0.8571428571428571,1,"Abraham, Ralph Lee",R,LA,H
B000213,12,12,0.6666666666666666,1,"Barton, Joe",R,TX,H
B000490,44,25,0.0,2,"Bishop, Sanford D.",D,GA,H
B000574,75,22,0.64,1,"Blumenauer, Earl",D,OR,H
B000575,25,13,0.44,2,"Blunt, Roy",R,MO,S
B000589,1,1,0.0,0,"Boehner, John A.",R,OH,H
B000711,75,37,0.52,1,"Boxer, Barbara",D,CA,S
B000755,86,28,0.627906976744186,1,"Brady, Kevin",R,TX,H
B000911,29,15,0.0,1,"Brown, Corrine",D,FL,H
B000944,121,47,0.5619834710743802,1,"Brown, Sherrod",D,OH,S
B001135,4,4,0.5,0,"Burr, Richard",R,NC,S
B001227,3,2,0.0,0,"Brady, Robert A.",D,PA,H
B001230,45,12,0.6888888888888889,2,"Baldwin, Tammy",D,WI,S
B001236,6,6,0.0,1,"Boozman, John",R,AR,S
B001243,595,18,0.4151260504201681,2,"Blackburn, Marsha",R,TN,H
B001245,28,8,0.17857142857142858,0,"Bordallo, Madeleine Z.",D,GU,H
B001248,167,96,0.40718562874251496,4,"Burgess, Michael C.",R,TX,H
B001250,37,24,0.4594594594594595,3,"Bishop, Rob",R,UT,H
B001251,30,12,0.1,0,"Butterfield, G. K.",D,NC,H
B001255,5,5,0.2,0,"Boustany, Charles W., Jr.",R,LA,H
B001257,29,13,0.6896551724137931,0,"Bilirakis, Gus M.",R,FL,H
B001260,5,4,0.0,0,"Buchanan, Vern",R,FL,H
B001261,72,28,0.3888888888888889,4,"Barrasso, John",R,WY,S
B001267,27,11,0.25925925925925924,0,"Bennet, Michael F.",D,CO,S
B001269,12,6,0.16666666666666666,1,"Barletta, Lou",R,PA,H
B001270,9,5,0.0,0,"Bass, Karen",D,CA,H
B001271,7,6,0.7142857142857143,0,"Benishek, Dan",R,MI,H
B001273,8,3,0.5,0,"Black, Diane",R,TN,H
B001274,2,1,0.0,0,"Brooks, Mo",R,AL,H
B001277,54,13,0.37037037037037035,1,"Blumenthal, Richard",D,CT,S
B001278,5,5,0.8,0,"Bonamici, Suzanne",D,OR,H
B001281,36,12,0.5833333333333334,1,"Beatty, Joyce",D,OH,H
B001282,42,11,0.0,0,"Barr, Andy",R,KY,H
B001284,14,10,0.21428571428571427,2,"Brooks, Susan W.",R,IN,H
B001285,11,10,0.09090909090909091,0,"Brownley, Julia",D,CA,H
B001286,5,3,0.4,0,"Bustos, Cheri",D,IL,H
B001287,20,3,0.2,0,"Bera, Ami",D,CA,H
