interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
20/20 Vision,2,20/20 Vision,20/20 Vision,36,Visual acuity,,,,TRUE,FALSE,FALSE,TRUE,FALSE
AAA MidAtlantic,8,AAA MidAtlantic,AAA MidAtlantic,39,American Automobile Association,American Automobile Association,,AAA,TRUE,FALSE,FALSE,FALSE,TRUE
AARP (American Association of Retired Persons),12,AARP (American Association of Retired Persons),AARP (American Association of Retired Persons),100,AARP,American Association of Retired Persons,,AARP,TRUE,FALSE,FALSE,TRUE,TRUE
ABA Center on Children and the Law,13,ABA Center on Children and the Law,ABA Center on Children and the Law,28,Obscenity,Center on Children and the Law,,,TRUE,FALSE,FALSE,TRUE,FALSE
Academy for Educational Development - National Institute for Work and Learning,18,Academy for Educational Development - National Institute for Work and Learning,Academy for Educational Development - National Institute for Work and Learning,22,Education,,,AED-NIWL,TRUE,FALSE,FALSE,TRUE,TRUE
Academy of Managed Care Pharmacy,21,Academy of Managed Care Pharmacy,Academy of Managed Care Pharmacy,100,Academy of Managed Care Pharmacy,Academy of Managed Care Pharmacy,,AMCP,TRUE,TRUE,FALSE,FALSE,TRUE
Academy of Radiology Research,23,Academy of Radiology Research,Academy of Radiology Research,81,Norwich Radiology Academy,,,ARR,TRUE,FALSE,FALSE,TRUE,TRUE
Accrediting Council for Continuing Education & Training,29,Accrediting Council for Continuing Education & Training,Accrediting Council for Continuing Education & Training,100,Accrediting Council for Continuing Education and Training,Accrediting Council for Continuing Education and Training,,ACCET,TRUE,FALSE,FALSE,FALSE,TRUE
Accuracy in Academia,30,Accuracy in Academia,Accuracy in Academia,100,Accuracy in Academia,Accuracy in Academia,AIA,AIA,TRUE,TRUE,FALSE,FALSE,FALSE
Accuracy in Media,31,Accuracy in Media,Accuracy in Media,100,Accuracy in Media,Accuracy in Media,AIM,AIM,TRUE,TRUE,FALSE,FALSE,FALSE
"ACT, Inc.",34,"ACT, Inc.","ACT, Inc.",60,ACT (test),American College Testing,,ACT,TRUE,FALSE,FALSE,TRUE,TRUE
Action on Smoking and Health,35,Action on Smoking and Health,Action on Smoking and Health,100,Action on Smoking and Health,Action on Smoking and Health,ASH,ASH,TRUE,TRUE,FALSE,FALSE,FALSE
Acute Long Term Hospital Association,36,Acute Long Term Hospital Association,Acute Long Term Hospital Association,38,List of hospitals in Pennsylvania,,,ALTHA,TRUE,FALSE,FALSE,TRUE,TRUE
Adhesive and Sealant Council,37,Adhesive and Sealant Council,Adhesive and Sealant Council,100,Adhesive,,,ASC,TRUE,FALSE,FALSE,TRUE,TRUE
Advanced Transit Association,40,Advanced Transit Association,Advanced Transit Association,100,Advanced Transit Association,Advanced Transit Association,ATRA,ATA,TRUE,TRUE,FALSE,FALSE,TRUE
Adventist Development and Relief Agency International,42,Adventist Development and Relief Agency International,Adventist Development and Relief Agency International,100,Adventist Development and Relief Agency,Adventist Development and Relief Agency,SAWS,SAWS,TRUE,FALSE,FALSE,FALSE,FALSE
Advocates for Highway and Auto Safety,43,Advocates for Highway and Auto Safety,Advocates for Highway and Auto Safety,24,Joan Claybrook,,SPAN,,TRUE,FALSE,FALSE,TRUE,TRUE
Advocates for Youth,44,Advocates for Youth,Advocates for Youth,100,Advocates for Youth,Advocates for Youth,,,TRUE,TRUE,FALSE,FALSE,FALSE
Aerospace Industries Association of America,48,Aerospace Industries Association of America,Aerospace Industries Association of America,100,Aerospace Industries Association,Aerospace Industries Association,,AIA,TRUE,FALSE,FALSE,FALSE,TRUE
Aerospace Medical Association,49,Aerospace Medical Association,Aerospace Medical Association,100,Aerospace Medical Association,Aerospace Medical Association,,,TRUE,TRUE,FALSE,FALSE,FALSE
Affordable Housing Tax Credit Coalition,51,Affordable Housing Tax Credit Coalition,Affordable Housing Tax Credit Coalition,100,Affordable housing,,,,TRUE,FALSE,FALSE,TRUE,FALSE
Afghanistan Foundation,52,Afghanistan Foundation,Afghanistan Foundation,100,Afghanistan,,,,TRUE,FALSE,FALSE,TRUE,FALSE
AFL-CIO - Broadcast Division,53,AFL-CIO - Broadcast Division,AFL-CIO - Broadcast Division,50,List of unions affiliated with the AFL–CIO,,,,TRUE,FALSE,FALSE,TRUE,FALSE
AFL-CIO - Building and Construction Trades Department,54,AFL-CIO - Building and Construction Trades Department,AFL-CIO - Building and Construction Trades Department,100,AFL–CIO,,,,TRUE,FALSE,FALSE,TRUE,FALSE
AFL-CIO - Maritime Trades Department,56,AFL-CIO - Maritime Trades Department,AFL-CIO - Maritime Trades Department,100,"Maritime Trades Department, AFL–CIO",,,,TRUE,FALSE,FALSE,TRUE,FALSE
AFL-CIO - Transportation Trades Department,58,AFL-CIO - Transportation Trades Department,AFL-CIO - Transportation Trades Department,100,"Transportation Trades Department, AFL–CIO",,,,TRUE,FALSE,FALSE,TRUE,FALSE
AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),59,AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),100,AFL–CIO,American Federation of Labor and Congress of Industrial Organizations,,AFL-CIO,TRUE,FALSE,FALSE,TRUE,TRUE
African Wildlife Foundation,63,African Wildlife Foundation,African Wildlife Foundation,100,African Wildlife Foundation,African Wildlife Foundation,AWF,AWF,TRUE,TRUE,FALSE,FALSE,FALSE
