org_id,p1_original,prominence,paragraph_mention_count,10_or_more_org_mentioned,uuid_mention,uuid_paragraph,granuleId,source,interest_group,variation
391,"Mr. Speaker, I am a diabetic. I also suffer from macular degeneration  and heart disease. I know firsthand how difficult it is for people to  change their behaviors and make healthier life choices, but I also know  that changing behavior can improve overall health and reduce the amount  of costly medical care people need. The American Medical Association recently found that having a health  and wellness coach involved in a person's wellness journey not only  increases patient satisfaction and engagement, but also reduces  physician stress and burnout by freeing up their time. Last week, I introduced H. Res. 733 to express support for health and  wellness coaches and to designate this week as National Health and  Wellness Coach Recognition Weak. Mr. Speaker, I ask my colleagues to join me in celebrating our  Nation's health and wellness coaches.",1,1,0,f1a5783c-7c8e-4056-bf43-d56d04e5ab1e-1,f1a5783c-7c8e-4056-bf43-d56d04e5ab1e,CREC-2018-02-14-pt1-PgH1170,Labeled_Data.csv,American Medical Association,American Medical Association
2130,"Mr. AL GREEN of Texas. Mr. Speaker, I am honored tonight to present a  resolution on behalf of the NAACP, the National Association for the  Advancement of Colored People, a great organization founded in this  country on February 12, 1909. It just happens to have been the  centennial of the birth of Abraham Lincoln. I am honored to be a proud member of the NAACP. I hold a life  membership, and I look forward to acquiring an even higher membership  in the NAACP. I am honored to say that this resolution has the support of the  Congressional Black Caucus, and it is a bipartisan resolution as well. Also, I am honored to say, Mr. Speaker, that this resolution is one  that I hope will shed some additional light on the NAACP, its purpose,  and some of its accomplishments.",1,4,0,608d105a-12d8-48f9-aefe-c408a6d9d227-1,608d105a-12d8-48f9-aefe-c408a6d9d227,CREC-2018-02-27-pt1-PgH1330,Labeled_Data.csv,National Association for the Advancement of Colored People,NAACP
2306,"Chuck Grassley,      U.S. Senate,      Washington, DC. Hon. Patrick Leahy,      U.S. Senate,      Washington, DC. Dear Chairman Grassley and Ranking Member Leahy: On behalf       of the Hispanic National Bar Association (``HNBA''), we write       to recommend the confirmation of the Honorable Luis Felipe       Restrepo to the United States Court of Appeals for the Third       Circuit. As explained below, we believe that Judge Restrepo       has all the requisite qualifications to serve in this role       and will serve the Court and the parties that come before it       with distinction and integrity. The HNBA is a non-profit, non-partisan national membership       association that represents the interests of Hispanic       attorneys, judges, law professors, law students, and legal       professionals in the United States and Puerto Rico. One of       the HNBA's many institutional objectives is to advocate and       work to ensure that the federal and state courts in our       nation are diverse and reflect the citizenry that come before       our courts daily.",1,1,0,c14f4228-5bef-4baf-af9b-466837fd9163-1,c14f4228-5bef-4baf-af9b-466837fd9163,CREC-2016-01-11-pt1-PgS19-2,Labeled_Data.csv,National Bar Association,National Bar Association
20114287,"  Congressional Record, Volume 161 Issue 120 (Tuesday, July 28, 2015)   [Congressional Record Volume 161, Number 120 (Tuesday, July 28, 2015)] [House] [Page H8534] From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]                         STOP FUNDING PLANNED PARENTHOOD    (Mr. LaMALFA asked and was given permission to address the House for  1 minute and to revise and extend his remarks.) Mr. LaMALFA. Mr. Speaker, earlier today, a third Planned Parenthood  video surfaced, with a small warning of graphic content, the content  being video of a freshly aborted fetus being dissected on a dish while,  once again, senior staff uses casual rhetoric to describe how they  obtain and sell baby parts, stating:         I think a per-item thing works a little better, just       because we can see how much we can get out of it. Americans are horrified by this and other videos, which already  prompted House and Senate committees, as well as eight States, to  launch investigations into Planned Parenthood. Faithful protestors nationwide are speaking out against this  absolutely disgusting practice, including a rally occurring today in  Sacramento; yet in that State, we have an attorney general actually,  instead, leading a review of the group who filmed the videos. Using unborn babies as human capital? That is totally fine.",1,3,0,216b66b6-a4dc-4cfc-926e-84d2bc5b3976-1,216b66b6-a4dc-4cfc-926e-84d2bc5b3976,CREC-2015-07-28-pt1-PgH8534-3,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
2026,"J. Patrick Little, the national commander of the Military Order of  the Purple Heart, wrote to House leadership in direct opposition of  this bill. He said: ``The FACT Act adds insult to injury for veterans  and their families at a time when they are suffering from the  devastating effects of asbestos exposure.'' The FACT Act must be amended to protect veterans who were exposed to  those dangerous minerals while serving their country. I tried to amend  this bill twice to exempt asbestos trusts from having to file onerous  reports to the bankruptcy courts if the claimant is a member of the  Armed Forces, a civilian employee of the Department of Defense, and  their families to avoid any potential delay in these individuals  receiving their desired benefits in a timely manner; but the majority  did not make this commonsense amendment in order because they are not  prepared to defend this bill against the serious concerns raised by  veterans, including the Military Order of the Purple Heart, who say  that the bill is unnecessary, unfair, and only benefits the asbestos  industry rather than our veterans who proudly served their country and  were unknowingly exposed to this deadly substance. In the absence of this amendment, Mr. Chairman, I urge a ``no'' vote  on the bill. Mr. GOODLATTE. Mr. Chairman, I reserve the balance of my time.",1,1,0,bdf41d65-a476-448c-9699-f3b2d6b88b25-1,bdf41d65-a476-448c-9699-f3b2d6b88b25,CREC-2016-01-08-pt1-PgH181-2,Labeled_Data.csv,Military Order of the Purple Heart of the USA,Military Order of the Purple Heart
2853,"Every well-informed pro-lifer wants to defund Planned       Parenthood. I want to defund Planned Parenthood. There are       wonderful pro-life men and women in Congress who want to       defund Planned Parenthood. And, certainly National Right to       Life wants to defund Planned Parenthood. The difference here       is in strategy. This is not the end of this debate or this discussion. I urge colleagues to join me in supporting the legislation I am about  to file which would ensure that the government remains open.",1,3,0,e5243935-3962-4286-9883-528e6e36ecbd-1,e5243935-3962-4286-9883-528e6e36ecbd,CREC-2015-09-24-pt1-PgS6910-3,Labeled_Data.csv,Planned Parenthood Federation of America,Planned Parenthood
2853,"  Congressional Record, Volume 161 Issue 135 (Friday, September 18, 2015)   [Congressional Record Volume 161, Number 135 (Friday, September 18, 2015)] [House] [Pages H6152-H6167] From the Congressional Record Online through the Government Publishing Office [www.gpo.gov]                      DEFUND PLANNED PARENTHOOD ACT OF 2015    Mrs. BLACKBURN. Madam Speaker, pursuant to House Resolution 421, I  call up the bill (H.R. 3134) to provide for a moratorium on Federal  funding to Planned Parenthood Federation of America, Inc., and ask for  its immediate consideration in the House. The Clerk read the title of the bill. The SPEAKER pro tempore. Pursuant to House Resolution 421, the  amendment printed in House Report 114-262 is adopted and the bill, as  amended, is considered read.",0,1,0,7b278a81-1b3a-4895-934f-34b71a44e77e-1,7b278a81-1b3a-4895-934f-34b71a44e77e,CREC-2015-09-18-pt1-PgH6152,Labeled_Data.csv,Planned Parenthood Federation of America,Planned Parenthood Federation of America
20114287,"The vast majority of centers getting title X money  have nothing to do with Planned Parenthood, and the vast majority of  Planned Parenthood's activities have nothing to do with abortion. But  women should be able to choose a reproductive health provider without  the interference of Republican politicians, and millions of women  choose Planned Parenthood every year. The Congress representing those  women should stop demonizing Planned Parenthood and stand with Planned  Parenthood. Yes, as it stands, title X makes sure that if women's healthcare  centers, including Planned Parenthood, offer first-rate care, then  their work will be reimbursed. The Senate should reject any efforts to  change that. Women in this country work their tails off. They should be able to  choose their own healthcare providers.",1,5,0,3781d46e-9f72-4cb7-8d89-82afa826fb85-1,3781d46e-9f72-4cb7-8d89-82afa826fb85,CREC-2017-03-30-pt1-PgS2122-2,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
1910,"Nature Abounds, Orange County Sanitation  District, U.S. Chamber of Commerce, U.S. Conference of Mayors, U.S.  Great Lakes Shipping Association, and Upper Mississippi River Basin  Association. Madam President, I ask unanimous consent to have printed in the  Record the organizations listed on the charts. There being no objection, the material was ordered to be printed in  the Record, as follows:                        Letters of Support--S. 2848                               Updated 9-12-16         Advocates for a Clean Lake Erie; African American Health       Alliance; Alliance for the Great Lakes; American Association       of Port Authorities; American Council of Engineering       Companies; American Great Lakes Ports Association; American       Public Health Association; American Rivers; American Shore       and Beach Preservation Association (ASBPA); American Society       of Civil Engineers; Associated General Contractors of       America; Association of Metropolitan Water Agencies; Bad       River Watershed Association; Bay Area Council; Bay       Conservation and Development Commission; Bay Planning       Coalition; BaySail; Big River Coalition; Black Heritage       Society Inc.; Black Millennials for Flint; BlueGreen       Alliance; California Association of Sanitation Agencies;       California Marine Affairs and Navigation Conference;       California State Coastal Conservancy; Casa de Esperanza; City       of Sacramento; Clean Water Action; Coalition for the Delaware       River Watershed; Community Based Organization Partners;       Congregation of St. Joseph. Delta Institute; Ducks Unlimited; Earthjustice; Environment       America; Environment Michigan; Environmental Defense Fund;       Environmental Law & Policy Center; Franciscan Action Network;       Freshwater for Life Action Coalition; Freshwater Future;       Friends Committee on National Legislation; Genesee County       Hispanic Latino Collaborative; Genesee County NOW;       GreenFaith; GreenLatinos; Gulf Intracoastal Canal       Association; Gulf Ports Association of the Americas;       Headwaters Chapter, Izaak Walton League; Heart of the Lakes;       Hispanic Association of Colleges and Universities; Hispanic       Federation; Hoosier Environmental Council; Huron River       Watershed Council; International Union of Operating       Engineers; Lake Carriers Association; Land Trust Alliance;       League of Conservation Voters; League of United Latin       American Citizens; League of Women Voters of the United       States. MANA, A National Latina Organization; Michigan       Environmental Council; Midwest Environmental Advocates;       Milwaukee Riverkeeper; National Association of Clean Water       Agencies; National Association of Flood & Stormwater       Management Agencies; National Association of Hispanic Federal       Executives; National Coalition Of Blacks for Reparations in       America; National Conference of Puerto Rican Women, Inc.;       National Ground Water Association; National Rural Water       Association; National Wildlife Federation; Natural Resources       Defense Council; Nature Abounds; North Atlantic Ports       Association; Ohio Environmental Council; Orange County       Sanitation District; Orange County Water District; Pacific       Northwest Waterways Association; Physicians for Social       Responsibility; Prairie Rivers Network; Realize America's       Maritime Promise; Rural Community Assistance Partnership; San       Francisco Public Utilities Commission; Save the Bay; The Bay       Institute; The Nature Conservancy; U.S. Chamber of Commerce;       U.S. Conference of Mayors; U.S. Great Lakes Shipping       Association; Upper Mississippi River Basin Association; and       Waterways Council, Inc.   Mrs. BOXER. You can tell from just the few I read what an amazing  coalition we have. We can do this.",0,1,1,e00a927c-40cb-47a5-94de-c2cee1890bc0-1,e00a927c-40cb-47a5-94de-c2cee1890bc0,CREC-2016-09-13-pt1-PgS5660-2,Labeled_Data.csv,League of Conservation Voters,League of Conservation Voters
20114287,"Violations of mandatory reporting regulations are subject to  disciplinary action, up to and including termination. It is no secret that the Center for Medical Progress is an extreme  anti-choice organization with a goal of outlawing legal abortion  procedures in this country. To achieve that goal, they have shamelessly targeted Planned  Parenthood and the funding that provides healthcare services to  millions of women every year. They continue to use deceptive tactics and secret videos to try and  undermine Planned Parenthood. Just like Live Action, the Center for Medical Progress is not a  group that can be taken credibly. The Center for Medical Progress is simply recreating a history of  doctoring and manipulating video intended to create misimpressions  about Planned Parenthood. It is a coordinated effort by anti-choice forces--not only on  Planned Parenthood or a woman's right to choose, but on women's health  care across the board.",1,3,0,46d28516-47b5-4b22-a9c7-c0e480ba612d-1,46d28516-47b5-4b22-a9c7-c0e480ba612d,CREC-2015-09-17-pt1-PgH6096,Labeled_Data.csv,Planned Parenthood Affiliates of California,Planned Parenthood
