interest_group,org_id,original_name,original_name_2,similarity_score,current_name,current_name_2,acronym,acronym_2,active,name_match,helper_1,helper_2,helper_3
20/20 Vision,2,20/20 Vision,20/20 Vision,36,Visual acuity,20/20 Vision,,,True,False,False,True,False
AAA MidAtlantic,8,AAA MidAtlantic,AAA MidAtlantic,39,American Automobile Association,American Automobile Association,,AAA,True,False,False,False,True
AARP (American Association of Retired Persons),12,AARP (American Association of Retired Persons),AARP (American Association of Retired Persons),100,AARP,American Association of Retired Persons,,AARP,True,False,False,True,True
ABA Center on Children and the Law,13,ABA Center on Children and the Law,ABA Center on Children and the Law,28,Obscenity,Center on Children and the Law,,,True,False,False,True,False
Academy for Educational Development - National Institute for Work and Learning,18,Academy for Educational Development - National Institute for Work and Learning,Academy for Educational Development - National Institute for Work and Learning,22,Education,Academy for Educational Development - National Institute for Work and Learning,,AED-NIWL,True,False,False,True,True
Academy of Managed Care Pharmacy,21,Academy of Managed Care Pharmacy,Academy of Managed Care Pharmacy,100,Academy of Managed Care Pharmacy,Academy of Managed Care Pharmacy,,AMCP,True,True,False,False,True
Academy of Radiology Research,23,Academy of Radiology Research,Academy of Radiology Research,81,Norwich Radiology Academy,Academy of Radiology Research,,ARR,True,False,False,True,True
Accrediting Council for Continuing Education & Training,29,Accrediting Council for Continuing Education & Training,Accrediting Council for Continuing Education & Training,100,Accrediting Council for Continuing Education and Training,Accrediting Council for Continuing Education and Training,,ACCET,True,False,False,False,True
Accuracy in Academia,30,Accuracy in Academia,Accuracy in Academia,100,Accuracy in Academia,Accuracy in Academia,AIA,AIA,True,True,False,False,False
Accuracy in Media,31,Accuracy in Media,Accuracy in Media,100,Accuracy in Media,Accuracy in Media,AIM,AIM,True,True,False,False,False
"ACT, Inc.",34,"ACT, Inc.","ACT, Inc.",60,ACT (test),American College Testing,,ACT,True,False,False,True,True
Action on Smoking and Health,35,Action on Smoking and Health,Action on Smoking and Health,100,Action on Smoking and Health,Action on Smoking and Health,ASH,ASH,True,True,False,False,False
Acute Long Term Hospital Association,36,Acute Long Term Hospital Association,Acute Long Term Hospital Association,38,List of hospitals in Pennsylvania,Acute Long Term Hospital Association,,ALTHA,True,False,False,True,True
Adhesive and Sealant Council,37,Adhesive and Sealant Council,Adhesive and Sealant Council,100,Adhesive,Adhesive and Sealant Council,,ASC,True,False,False,True,True
Advanced Transit Association,40,Advanced Transit Association,Advanced Transit Association,100,Advanced Transit Association,Advanced Transit Association,ATRA,ATA,True,True,False,False,True
Adventist Development and Relief Agency International,42,Adventist Development and Relief Agency International,Adventist Development and Relief Agency International,100,Adventist Development and Relief Agency,Adventist Development and Relief Agency,SAWS,SAWS,True,False,False,False,False
Advocates for Highway and Auto Safety,43,Advocates for Highway and Auto Safety,Advocates for Highway and Auto Safety,24,Joan Claybrook,Advocates for Highway and Auto Safety,SPAN,,True,False,False,True,True
Advocates for Youth,44,Advocates for Youth,Advocates for Youth,100,Advocates for Youth,Advocates for Youth,,,True,True,False,False,False
Aerospace Industries Association of America,48,Aerospace Industries Association of America,Aerospace Industries Association of America,100,Aerospace Industries Association,Aerospace Industries Association,,AIA,True,False,False,False,True
Aerospace Medical Association,49,Aerospace Medical Association,Aerospace Medical Association,100,Aerospace Medical Association,Aerospace Medical Association,,,True,True,False,False,False
Affordable Housing Tax Credit Coalition,51,Affordable Housing Tax Credit Coalition,Affordable Housing Tax Credit Coalition,100,Affordable housing,Affordable Housing Tax Credit Coalition,,,True,False,False,True,False
Afghanistan Foundation,52,Afghanistan Foundation,Afghanistan Foundation,100,Afghanistan,Afghanistan Foundation,,,True,False,False,True,False
AFL-CIO - Broadcast Division,53,AFL-CIO - Broadcast Division,AFL-CIO - Broadcast Division,50,List of unions affiliated with the AFLâ€“CIO,AFL-CIO - Broadcast Division,,,True,False,False,True,False
AFL-CIO - Building and Construction Trades Department,54,AFL-CIO - Building and Construction Trades Department,AFL-CIO - Building and Construction Trades Department,100,AFLâ€“CIO,AFL-CIO - Building and Construction Trades Department,,,True,False,False,True,False
AFL-CIO - Maritime Trades Department,56,AFL-CIO - Maritime Trades Department,AFL-CIO - Maritime Trades Department,100,"Maritime Trades Department, AFLâ€“CIO",AFL-CIO - Maritime Trades Department,,,True,False,False,True,False
AFL-CIO - Transportation Trades Department,58,AFL-CIO - Transportation Trades Department,AFL-CIO - Transportation Trades Department,100,"Transportation Trades Department, AFLâ€“CIO",AFL-CIO - Transportation Trades Department,,,True,False,False,True,False
AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),59,AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),AFL-CIO (American Federation of Labor and Congress of Industrial Organizations),100,AFLâ€“CIO,American Federation of Labor and Congress of Industrial Organizations,,AFL-CIO,True,False,False,True,True
African Wildlife Foundation,63,African Wildlife Foundation,African Wildlife Foundation,100,African Wildlife Foundation,African Wildlife Foundation,AWF,AWF,True,True,False,False,False
Africare,64,Africare,Africare,100,Africare,Africare,MCC,,True,True,False,False,True
Agribusiness Council,20110189,Agribusiness Council,Agribusiness Council,100,Agribusiness,Agribusiness Council,,ABC,True,False,False,True,True
Agricultural Retailers Association,66,Agricultural Retailers Association,Agricultural Retailers Association,26,Amy Klobuchar,Agricultural Retailers Association,SWAN,ARA,True,False,False,True,True
Agricultural Transporters Conference,67,Agricultural Transporters Conference,Agricultural Transporters Conference,18,Adderall,Agricultural Transporters Conference,,,True,False,False,True,False
Agudath Israel of America,68,Agudath Israel of America,Agudath Israel of America,100,Agudath Israel of America,Agudath Israel of America,UTJ,,True,True,False,False,True
AIDS Action Council,69,AIDS Action Council,AIDS Action Council,50,HIV/AIDS in Australia,AIDS Action Council,NCHECR,,True,False,False,True,True
Air Carrier Association of America,71,Air Carrier Association of America,Air Carrier Association of America,71,Carrier Air Wing Two,Air Carrier Association of America,,ACAA,True,False,False,True,True
Air Conditioning Contractors of America,72,Air Conditioning Contractors of America,Air Conditioning Contractors of America,66,"Heating, ventilation, and air conditioning",Air Conditioning Contractors of America,ASHRAE,ACCA,True,False,False,True,True
Air Force Association,73,Air Force Association,Air Force Association,86,Air & Space Forces Association,Air & Space Forces Association,STEM,AFA,True,False,False,False,True
Air Force Sergeants Association,74,Air Force Sergeants Association,Air Force Sergeants Association,100,Air Force Sergeants Association,Air Force Sergeants Association,AFSA,ASFA,True,True,False,False,True
Air Line Pilots Association International,75,Air Line Pilots Association International,Air Line Pilots Association International,100,"Air Line Pilots Association, International","Air Line Pilots Association, International",,ALPA,True,False,False,False,True
Air Traffic Control Association,78,Air Traffic Control Association,Air Traffic Control Association,72,Air traffic controller,Air Traffic Control Association,,ATCA,True,False,False,True,True
Air Transport Association of America,79,Air Transport Association of America,Air Transport Association of America,61,Airlines for America,Airlines for America,ATA,A4A,True,False,False,False,True
Aircraft Owners and Pilots Association,83,Aircraft Owners and Pilots Association,Aircraft Owners and Pilots Association,100,Aircraft Owners and Pilots Association,Aircraft Owners and Pilots Association,AOPA,AOPA,True,True,False,False,False
Airport Consultants Council,84,Airport Consultants Council,Airport Consultants Council,74,Pune Airport,Airport Consultants Council,,ACC,True,False,False,True,True
Alarm Industry Communications Committee,85,Alarm Industry Communications Committee,Alarm Industry Communications Committee,45,Fire alarm system,Alarm Industry Communications Committee,,AICC,True,False,False,True,True
Alaska Wilderness League,86,Alaska Wilderness League,Alaska Wilderness League,100,Alaska Wilderness League,Alaska Wilderness League,AWL,AWL,True,True,False,False,False
Alexander Graham Bell Association for the Deaf,92,Alexander Graham Bell Association for the Deaf,Alexander Graham Bell Association for the Deaf,100,Alexander Graham Bell Association for the Deaf and Hard of Hearing,Alexander Graham Bell Association for the Deaf and Hard of Hearing,AAPTSD,AG Bell,True,True,False,False,True
Alliance for Affordable Services,98,Alliance for Affordable Services,Alliance for Affordable Services,100,Alliance for Affordable Services,Alliance for Affordable Services,,,True,True,False,False,False
Alliance for Aging Research,99,Alliance for Aging Research,Alliance for Aging Research,100,Alliance for Aging Research,Alliance for Aging Research,NIA,,True,True,False,False,True
Alliance for Children and Families,101,Alliance for Children and Families,Alliance for Children and Families,25,Peter Goldberg,Alliance for Children and Families,,,True,False,False,True,False
Alliance for Community Media,102,Alliance for Community Media,Alliance for Community Media,100,Alliance for Community Media,Alliance for Community Media,ACM,ACM,True,True,False,False,False
"Alliance for International Educational and Cultural Exchange, The",105,"Alliance for International Educational and Cultural Exchange, The","Alliance for International Educational and Cultural Exchange, The",100,Alliance for International Educational and Cultural Exchange,Alliance for International Exchange,,,True,False,False,True,False
Alliance for Justice,106,Alliance for Justice,Alliance for Justice,100,Alliance for Justice,Alliance for Justice,AFJ,AFJ,True,True,False,False,False
Alliance for Nuclear Accountability,107,Alliance for Nuclear Accountability,Alliance for Nuclear Accountability,100,Alliance for Nuclear Accountability,Alliance for Nuclear Accountability,ANA,ANA,True,True,False,False,False
Alliance for Public Technology,108,Alliance for Public Technology,Alliance for Public Technology,69,Alliance College-Ready Public Schools,Alliance for Public Technology,,APT,True,False,False,True,True
Alliance for Rail Competition,109,Alliance for Rail Competition,Alliance for Rail Competition,42,"Dakota, Minnesota and Eastern Railroad",Alliance for Rail Competition,,,True,False,False,True,False
Alliance for Responsible Atmospheric Policy,110,Alliance for Responsible Atmospheric Policy,Alliance for Responsible Atmospheric Policy,53,National Oceanic and Atmospheric Administration,Alliance for Responsible Atmospheric Policy,,,True,False,False,True,False
