term,estimate,std_error,z_value,p_value,odds_ratio,ci_lower,ci_upper,model
Intercept,-0.6477721381991552,0.009454086539494934,-68.51768655734784,0.0,0.523210119120699,-0.6663018073232903,-0.6292424690750202,Empty Model A
Intercept,-0.6477721381991552,0.009454086539494934,-68.51768655734784,0.0,0.523210119120699,-0.6663018073232903,-0.6292424690750202,Empty Model A
Intercept,-0.8222337252061034,0.0493660052681374,-16.65586917029324,2.743295949551469e-62,0.4394489491732024,-0.9189893175922672,-0.7254781328199396,Model A2 (Full)
"C(level1_chamber_x, Treatment('House of Representatives'))[T.Senate]",0.46775262293106007,0.03124100603301137,14.97239309248879,1.1124509359086356e-50,1.5964024404801958,0.40652137626555923,0.5289838695965609,Model A2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Independent]",0.3296877009984926,0.15532614041451362,2.122551298311193,0.03379146970962007,1.390533798330096,0.025254059928434547,0.6341213420685506,Model A2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Republican]",0.2689848707924306,0.03184189578938403,8.447514324260466,2.9757036301174774e-17,1.3086353422809711,0.2065759018457603,0.3313938397391009,Model A2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Association of Individuals]",0.31719460989344767,0.03926652521158679,8.077990303044428,6.584284093692364e-16,1.3732697978112418,0.24023363468070352,0.3941555851061918,Model A2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Other]",0.10814351598855342,0.07039255366545474,1.5362919848385188,0.12446678441277718,1.1142076405234222,-0.029823353975540853,0.24611038595264767,Model A2 (Full)
"C(level1_ABBREVCAT, Treatment('Business Interests'))[T.Government Interests]",0.1510882191802882,0.10226169097618745,1.4774664660637231,0.1395506408796251,1.16309926121939,-0.04934101213120384,0.35151745049178024,Model A2 (Full)
"C(level1_ABBREVCAT, Treatment('Business Interests'))[T.Non-Business Interests]",-0.114670098135676,0.051670615620109626,-2.2192516338250803,0.026469610070447198,0.8916602557708602,-0.2159426438101036,-0.01339755246124838,Model A2 (Full)
Intercept,-0.6477721381991552,0.009454086539494934,-68.51768655734784,0.0,0.523210119120699,-0.6663018073232903,-0.6292424690750202,Empty Model B
Intercept,-0.7662196300534448,0.030815412729202473,-24.864818030729495,1.7880553168687214e-136,0.4647667416780731,-0.8266167291714188,-0.7058225309354709,Model B1 (Politician Chars)
"C(level1_chamber_x, Treatment('House of Representatives'))[T.Senate]",0.44657650175710173,0.031018840236127786,14.396943868873988,5.408262935273143e-47,1.5629522515760155,0.38578069205208937,0.5073723114621141,Model B1 (Politician Chars)
"C(level1_partyHistory, Treatment('Democrat'))[T.Independent]",0.2506600768685471,0.15499202653742356,1.6172449800701458,0.10582541054642998,1.2848732519513628,-0.05311871303567939,0.5544388667727735,Model B1 (Politician Chars)
"C(level1_partyHistory, Treatment('Democrat'))[T.Republican]",0.2016894291667691,0.03265793424876963,6.1758171117136,6.582214715838949e-10,1.2234679756322875,0.13768105422970348,0.2656978041038347,Model B1 (Politician Chars)
level1_bills_sponsored,0.02418373882064294,0.002833105810438891,8.53612270023071,1.3880096275146203e-17,1.024478537076683,0.01863095346779155,0.029736524173494327,Model B1 (Politician Chars)
Intercept,-0.9121492399631643,0.050502194888606335,-18.0615761745625,6.396969712775103e-73,0.40166003189599886,-1.0111317230850556,-0.813166756841273,Model B2 (Full)
"C(level1_chamber_x, Treatment('House of Representatives'))[T.Senate]",0.473209020570479,0.03132940664941234,15.10430841751531,1.5168953755432204e-51,1.605136854535841,0.4118045118806211,0.5346135292603369,Model B2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Independent]",0.28721686167244753,0.1555108408305397,1.846925012677592,0.06475800904727448,1.3327131965525638,-0.017578785560951216,0.5920125089058463,Model B2 (Full)
"C(level1_partyHistory, Treatment('Democrat'))[T.Republican]",0.20621190101032832,0.032794528211959564,6.287997182869264,3.2158774675215735e-10,1.229013605629393,0.14193580682490484,0.27048799519575184,Model B2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Association of Individuals]",0.32908859140428515,0.03938634238208352,8.355398635695211,6.52121115371669e-17,1.3897009656943689,0.25189277885263794,0.40628440395593235,Model B2 (Full)
"C(level1_MSHIP_STATUS11, Treatment('Association of Institutions'))[T.Other]",0.12584562189941673,0.07060664944497425,1.7823480208828175,0.07469249629466121,1.13410707347211,-0.01254086808177779,0.26423211188061124,Model B2 (Full)
"C(level1_ABBREVCAT, Treatment('Business Interests'))[T.Government Interests]",0.15730982889044792,0.1024639868481611,1.535269451534826,0.12471765468394999,1.1703581685058426,-0.04351589504433362,0.35813555282522946,Model B2 (Full)
"C(level1_ABBREVCAT, Treatment('Business Interests'))[T.Non-Business Interests]",-0.0938302730949283,0.05184950926112544,-1.8096655963006045,0.07034766078016556,0.910437274828843,-0.19545344386281016,0.007792897672953561,Model B2 (Full)
