effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,or_lower,or_upper,sig,model,method
fixed,(Intercept),0.365727661584451,0.33737626749367783,1.0840349390945363,0.2783493077024858,-0.29551767194170875,1.0269729951106108,1.4415625963172065,0.7441462640975156,2.7925998145285096,,B,glmer_crossed
fixed,terms_served_before,-0.026108732014322462,0.007605905880991826,-3.432691966327334,5.976206473839248e-4,-0.04101603361086783,-0.011201430417777096,0.9742291539512342,0.9598137405444039,0.9888610720140324,***,B,glmer_crossed
fixed,up_for_reelection,-0.20218356071124158,0.06938199933333312,-2.914063628231404,0.003567571844765847,-0.3381697805799565,-0.06619734084252665,0.8169449551810861,0.7130742114671849,0.9359461456650084,**,B,glmer_crossed
fixed,policy_overlap,0.7098814388117225,0.24559921839079754,2.890405936399028,0.0038474465307674005,0.22851581613457211,1.1912470614888728,2.0337501205212734,1.2567334016393141,3.2911829568029387,**,B,glmer_crossed
fixed,is_democrat,0.14158049504405518,0.06377751491190564,2.2199123819674837,0.02642471583877109,0.016578862793253907,0.2665821272948564,1.152093238324417,1.0167170547713722,1.3054948016892605,*,B,glmer_crossed
fixed,is_single_issue,0.42796668401488774,0.23441200779312998,1.8257029067920911,0.06789502510654236,-0.03147240880336938,0.8874057768331449,1.5341349688983759,0.9690176924425897,2.428820568656707,,B,glmer_crossed
fixed,is_labor,0.7688669952013596,0.33253010396860694,2.312172600390928,0.0207681735766268,0.11711996764753041,1.4206140227551889,2.157320613977876,1.1242542957436799,4.139661506399046,*,B,glmer_crossed
fixed,is_membership_org,-0.25009448460610634,0.1408159198323255,-1.7760384259386488,0.07572658385967194,-0.5260886159273438,0.02589964671513112,0.7787272018623815,0.590911738169687,1.0262379569557223,,B,glmer_crossed
fixed,log_lobbying,0.04348695702468123,0.018465987859137563,2.354975935022208,0.018523905289349947,0.007294285881817721,0.07967962816754473,1.04444637153494,1.0073209539872419,1.0829400685993453,*,B,glmer_crossed
fixed,log_bills_sponsored,-0.1659863750319983,0.02670127856628225,-6.216420484133746,5.086239401322444e-10,-0.21831991936308281,-0.11365283070091382,0.8470577752458596,0.8038682275135108,0.8925677742281533,***,B,glmer_crossed
