granuleId,packageId,text_src,n_cues,first_cue,n_members
CREC-2015-01-06-pt1-PgH-FrontMatter,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH2-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH1,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH2-3,CREC-2015-01-06,parsed_text,6,Mr. BECERRA.,8
CREC-2015-01-06-pt1-PgH6,CREC-2015-01-06,parsed_text,1,The SPEAKER.,1
CREC-2015-01-06-pt1-PgH6-3,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH6-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH6-6,CREC-2015-01-06,parsed_text,7,Mr. BECERRA.,2
CREC-2015-01-06-pt1-PgH6-4,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH6-5,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH7-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH7,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH6-7,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH28,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH7-3,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH28-3,CREC-2015-01-06,parsed_text,1,The SPEAKER pro tempore.,1
CREC-2015-01-06-pt1-PgH28-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH7-4,CREC-2015-01-06,parsed_text,62,The SPEAKER pro tempore.,24
CREC-2015-01-06-pt1-PgH28-4,CREC-2015-01-06,parsed_text,1,The SPEAKER pro tempore.,1
CREC-2015-01-06-pt1-PgH28-5,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH32,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH29,CREC-2015-01-06,parsed_text,28,The SPEAKER pro tempore.,8
CREC-2015-01-06-pt1-PgH32-2,CREC-2015-01-06,parsed_text,1,The SPEAKER pro tempore.,1
CREC-2015-01-06-pt1-PgH32-3,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH32-4,CREC-2015-01-06,parsed_text,1,The SPEAKER pro tempore.,1
CREC-2015-01-06-pt1-PgH33,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH33-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-2,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-5,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-4,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-3,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-7,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-8,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-9,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-10,CREC-2015-01-06,parsed_text,0,,1
CREC-2015-01-06-pt1-PgH35-6,CREC-2015-01-06,parsed_text,1,The SPEAKER pro tempore.,1
