granuleId,packageId,text_src,n_cues,first_cue,n_members
CREC-2015-04-27-pt1-PgH-FrontMatter,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-3,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-2,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-6,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-7,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-8,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2469-9,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2472-2,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2470,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2474-3,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2474-2,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-2,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-3,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-4,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-6,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-5,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-7,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-8,CREC-2015-04-27,text_for_speaker,0,,1
CREC-2015-04-27-pt1-PgH2475-9,CREC-2015-04-27,text_for_speaker,0,,1
