granuleId,packageId,text_src,n_cues,first_cue,n_members
CREC-2015-05-28-pt1-PgS3321-3,CREC-2015-05-28,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-01-22-pt1-PgS165-5,CREC-2016-01-22,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-03-24-pt1-PgS1615-5,CREC-2016-03-24,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-03-28-pt1-PgS1617-5,CREC-2016-03-28,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-03-31-pt1-PgS1619-5,CREC-2016-03-31,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-05-05-pt1-PgS2603-5,CREC-2016-05-05,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-07-19-pt1-PgS5199-5,CREC-2016-07-19,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-07-29-pt1-PgS5205-5,CREC-2016-07-29,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-02-pt1-PgS5207-5,CREC-2016-08-02,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-05-pt1-PgS5209-5,CREC-2016-08-05,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-09-pt1-PgS5211-5,CREC-2016-08-09,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-16-pt1-PgS5215-5,CREC-2016-08-16,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-19-pt1-PgS5217-5,CREC-2016-08-19,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-23-pt1-PgS5219-5,CREC-2016-08-23,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-26-pt1-PgS5221-5,CREC-2016-08-26,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-08-30-pt1-PgS5223-5,CREC-2016-08-30,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-09-02-pt1-PgS5225-5,CREC-2016-09-02,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-06-pt1-PgS6291-5,CREC-2016-10-06,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-07-pt1-PgS6293-5,CREC-2016-10-07,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-11-pt1-PgS6295-5,CREC-2016-10-11,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-13-pt1-PgS6297-5,CREC-2016-10-13,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-17-pt1-PgS6299-5,CREC-2016-10-17,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-10-31-pt1-PgS6307-5,CREC-2016-10-31,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-11-03-pt1-PgS6309-5,CREC-2016-11-03,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-11-07-pt1-PgS6311-5,CREC-2016-11-07,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
CREC-2016-11-10-pt1-PgS6313-5,CREC-2016-11-10,parsed_text,1,The ACTING PRESIDENT pro tempore.,0
